Wavelength	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
nm	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.
Wavelength	5 K	20 K	35 K	50 K	65 K	80 K	95 K	110 K	125 K	140 K	155 K	170 K	185 K	200 K	215 K	230 K	245 K	260 K	275 K	290 K
487	1021761.75	819261.25	350840.813	203686.016	194890.766	123086.539	45929.4336	17465.8145	8590.13965	4706.16797	3333.82617	2514.75879	2104.35303	1776.72498	1644.10608	1402.03601	1254.20374	1264.24292	1244.92212	1104.18079
488	1054126	853934.813	364606.781	214423.063	204923.281	129008.109	47860.1367	18184.748	8558.21484	4901.39893	3521.58521	2557.46021	2047.37036	1750.44849	1643.07153	1365.89783	1317.30322	1236.63757	1147.5791	1157.17419
489	1094491.13	870082.625	375988.438	227320.609	216088.516	134326.875	49957.6523	19196.1895	8830.02637	5071.04688	3610.43701	2577.55298	2137.73779	1783.33911	1642.33325	1430.69592	1380.92261	1261.24536	1111.18176	1106.95398
490	1118444.5	886957.25	382060.438	236561.469	230608.625	143891.484	53043.0273	20093.6172	9420.39258	5113.59863	3652.44653	2644.50562	2130.78003	1823.38318	1596.52979	1448.42236	1326.29346	1200.52185	1178.01575	1165.74329
491	1143897.38	922795.688	397048.844	250279.219	241032.938	150303.75	55360.0742	20709.2676	9754.43457	5476.70605	3628.62744	2650.31128	2207.67188	1855.43481	1579.65344	1495.02222	1395.25574	1214.1571	1143.96655	1136.60413
492	1189112.75	937430.75	409592.344	265297.75	252815.016	156593.234	57460.0547	22013.1035	10002.29	5547.36914	3740.64478	2870.2627	2191.78638	1834.12744	1623.86328	1504.38708	1291.74951	1213.08447	1055.48328	1061.73218
493	1212913	952059.875	416185.781	275260.156	270357.5	167812.031	61151.8047	22659.2168	10819.3613	5838.51367	3718.47852	2883.15405	2124.18384	1871.39587	1549.06531	1369.05566	1361.17029	1214.37329	1147.19177	1155.55432
494	1238123.25	993554.188	430885.75	289252.469	282463.344	173788.844	63101.8477	23750.3848	10872.9082	5972.8833	3831.03711	2972.0498	2272.94995	1890.90125	1655.88831	1480.88391	1304.21948	1146.13892	1207.3186	1063.80408
495	1287100.5	1007752.75	445459.375	307219.719	294785.25	181366.219	66087.7188	24569.2422	11120.7266	6208.01172	3903.09766	2925.40088	2318.25024	1884.01758	1599.83118	1463.51611	1242.38806	1195.98938	1128.64063	1116.15051
496	1311170.5	1022677.69	451830.063	318861.469	314694.969	192285.188	69786.1016	25712.7168	11645.3311	6180.80127	3983.19849	3063.35767	2248.35352	1947.39929	1678.64844	1417.854	1288.98938	1195.5177	1149.72314	1097.75903
497	1337328.88	1062415.38	466312.938	332824.5	326523.531	199258.656	72202.8125	26221.8379	12000.7324	6514.90674	4225.0791	3046.56152	2299.37964	1971.94617	1678.3031	1431.67688	1385.18213	1343.03882	1209.47742	1065.87524
498	1388791.13	1079839	484799.156	353183	340427.25	207576.328	75270.5625	27800.2305	12316.8643	6689.49316	4200.04053	3067.05054	2434.97632	2010.10535	1719.87207	1436.28064	1248.55383	1169.1825	1077.86145	1072.67993
499	1406948.88	1095467.75	490806.688	365861.906	361978.688	219374.156	79093.75	29220.1133	13008.9639	6902.21631	4465.78076	3053.30469	2436.30566	1937.42651	1642.79175	1536.75745	1257.00977	1214.98767	1118.73364	1080.18823
